arm,seed,fold,acc,mf1,kappa,auc,ap
D_random,1,0,0.682487539646579,0.6043754725617161,0.5430923455597804,0.6868260541102827,0.293092269918201
D_random,1,1,0.6851275668948351,0.6406763616404074,0.5640517167045456,0.7173458214575077,0.2898381443092135
D_random,1,2,0.7106,0.632088709461088,0.5889097918931818,0.6695477175319742,0.2062121670828061
D_random,1,3,0.6677041186845109,0.5953232169775473,0.5400066063011061,0.8300247277138727,0.40406499228276477
D_random,1,4,0.7049272747773142,0.6234356806389139,0.583326038750928,0.7403099072306054,0.4005194899470637
D_random,1,5,0.7253266000658689,0.63557094986518,0.5952165229434578,0.6802625330554486,0.2711823948085437
D_random,1,6,0.6770943796394485,0.5901023170170463,0.5503739176081599,0.7658918545224727,0.5624893309906401
D_random,1,7,0.7658840547457438,0.6753036587456727,0.663399072225198,0.7142722691143323,0.32558625721493584
D_random,1,8,0.6972383572811577,0.6530059697347823,0.5872256415550854,0.7033291888461488,0.23713896742561302
D_random,1,9,0.6783937886691739,0.6082406493509913,0.5337500670233694,0.6630544589245666,0.34495091155529706
D_random,42,0,0.7128454916175804,0.6822155050438349,0.6034878360186238,0.640045858478872,0.2455583434484952
D_random,42,1,0.674652561709189,0.6424863660032045,0.5547971413243553,0.6821366593796364,0.27197101700477183
D_random,42,2,0.7037,0.5997103394341223,0.5727915971293556,0.6463740294389788,0.1798570447772593
D_random,42,3,0.708994708994709,0.5959091261370102,0.5841718752465563,0.8183208879475019,0.38083148568674774
D_random,42,4,0.6893674596910587,0.5920774123180763,0.5535844640250933,0.7039535420785527,0.3579262762740636
D_random,42,5,0.7211549017455264,0.6187737827290756,0.5902217827991219,0.6677493636912246,0.2560692867049841
D_random,42,6,0.6787910922587487,0.6247436185268057,0.5585852837818142,0.7452679103572137,0.540237851353366
D_random,42,7,0.762879715144097,0.6674494240541298,0.660936624016504,0.7305023485111449,0.35844699245941
D_random,42,8,0.6774686640171201,0.6013352063291901,0.5624957247109397,0.6832091529025903,0.24075224163148873
D_random,42,9,0.703748635205629,0.6042692754978026,0.5663161213995636,0.649602973649852,0.32924938961950634
D_random,7,0,0.6952877208880833,0.6702377711303054,0.5805736231468667,0.6470235142575858,0.23504935062898452
D_random,7,1,0.687720389960589,0.6417776939177297,0.5669584902587124,0.6956261715178371,0.2768398428619958
D_random,7,2,0.6953,0.6091080944121693,0.5682229736808309,0.6769981466579883,0.20197975443816624
D_random,7,3,0.6751737732129889,0.5748537198524335,0.5362462400701495,0.8142482750524026,0.3661244419785347
D_random,7,4,0.6982748900665239,0.6097018418748024,0.570974072915147,0.7155257777252065,0.3786145837505013
D_random,7,5,0.7209353386760347,0.6472859971941016,0.5968021494526027,0.681007503437583,0.2717787529142348
D_random,7,6,0.6796394485683988,0.6145949889320783,0.5580609600650137,0.7531561153192647,0.5377005872910705
D_random,7,7,0.744519862022922,0.6560900265487246,0.6379554632002353,0.7294814381939533,0.3540516929177919
D_random,7,8,0.6771629471109752,0.6087862731597495,0.5467492594810504,0.6443041157265815,0.22093338138146568
D_random,7,9,0.6808200897731409,0.5883181991505975,0.5419371176993588,0.6546588157074305,0.3369357456443484
